nom,intérêts,niveau,competences,domaine
Personne 517,"[""Data Analysis"", ""React"", ""Python""]",Intermédiaire,"[""Docker"", ""Gestion de projet"", ""JavaScript"", ""AWS"", ""Power BI""]",Développement Web
Personne 518,"[""React"", ""Data Analysis"", ""CSS""]",Intermédiaire,"[""HTML"", ""SQL"", ""Analyse de donn\u00e9es""]",Développement Web
Personne 519,"[""Web Development""]",Avancé,"[""Analyse de donn\u00e9es"", ""Google Cloud"", ""Azure""]",Gestion de Projet
Personne 520,"[""IA"", ""JavaScript"", ""Python""]",Intermédiaire,"[""Docker"", ""CSS"", ""Tableau"", ""Google Cloud""]",Gestion de Projet
Personne 521,"[""IA"", ""CSS""]",Avancé,"[""Docker"", ""Analyse de donn\u00e9es"", ""Azure"", ""JavaScript""]",Développement Web
Personne 522,"[""Web Development""]",Débutant,"[""HTML"", ""Communication"", ""Power BI"", ""Analyse de donn\u00e9es"", ""Gestion de projet""]",Informatique
Personne 523,"[""HTML"", ""IA"", ""Computer Vision""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Communication""]",Gestion de Projet
Personne 524,"[""SQL"", ""Machine Learning""]",Avancé,"[""Google Cloud"", ""Docker"", ""Python""]",Développement Web
Personne 525,"[""HTML"", ""Big Data"", ""CSS""]",Débutant,"[""Excel"", ""Tableau""]",Développement Web
Personne 526,"[""Data Analysis"", ""Cloud Computing"", ""NLP""]",Intermédiaire,"[""Azure"", ""Excel"", ""Power BI""]",Développement Web
Personne 527,"[""NLP"", ""CSS"", ""IA""]",Avancé,"[""Azure"", ""Gestion de projet"", ""AWS"", ""Docker""]",Informatique
Personne 528,"[""HTML"", ""Node.js"", ""Data Analysis""]",Avancé,"[""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes""]",Data Science
Personne 529,"[""Angular""]",Intermédiaire,"[""Google Cloud"", ""Gestion de projet"", ""Docker"", ""AWS""]",Data Science
Personne 530,"[""SQL"", ""Big Data""]",Débutant,"[""Google Cloud"", ""AWS"", ""R""]",Gestion de Projet
Personne 531,"[""Cloud Computing""]",Intermédiaire,"[""Git"", ""Tableau"", ""Analyse de donn\u00e9es""]",Data Science
Personne 532,"[""Computer Vision""]",Intermédiaire,"[""SQL"", ""R"", ""Tableau""]",Data Science
Personne 533,"[""Big Data""]",Avancé,"[""Excel"", ""CSS""]",Informatique
Personne 534,"[""SQL"", ""CSS"", ""React""]",Avancé,"[""AWS"", ""Python""]",Gestion de Projet
Personne 535,"[""Data Analysis"", ""JavaScript"", ""IA""]",Débutant,"[""Tableau"", ""JavaScript"", ""Excel"", ""Docker""]",Data Science
Personne 536,"[""CSS""]",Avancé,"[""SQL"", ""Python""]",Marketing Digital
Personne 537,"[""Angular""]",Intermédiaire,"[""AWS"", ""Tableau""]",Gestion de Projet
Personne 538,"[""HTML""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Communication""]",Data Science
Personne 539,"[""Data Analysis"", ""NLP""]",Intermédiaire,"[""Azure"", ""Git"", ""Google Cloud"", ""Analyse de donn\u00e9es""]",Informatique
Personne 540,"[""IA""]",Avancé,"[""Gestion de projet"", ""R"", ""HTML""]",Data Science
Personne 541,"[""JavaScript"", ""Python""]",Intermédiaire,"[""SQL"", ""R\u00e9solution de probl\u00e8mes"", ""R"", ""Communication""]",Gestion de Projet
Personne 542,"[""HTML""]",Intermédiaire,"[""AWS"", ""Power BI"", ""Communication"", ""Azure"", ""R""]",Data Science
Personne 543,"[""Computer Vision"", ""SQL""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Communication""]",Développement Web
Personne 544,"[""JavaScript"", ""Data Analysis"", ""HTML""]",Débutant,"[""JavaScript"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 545,"[""Machine Learning"", ""CSS""]",Débutant,"[""Docker"", ""R\u00e9solution de probl\u00e8mes"", ""Google Cloud"", ""HTML""]",Développement Web
Personne 546,"[""NLP"", ""IA""]",Débutant,"[""AWS"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 547,"[""NLP"", ""Cloud Computing"", ""Python""]",Intermédiaire,"[""Python"", ""JavaScript"", ""Analyse de donn\u00e9es""]",Data Science
Personne 548,"[""Machine Learning"", ""HTML"", ""Python""]",Débutant,"[""CSS"", ""R""]",Gestion de Projet
Personne 549,"[""Machine Learning"", ""Computer Vision"", ""React""]",Débutant,"[""AWS"", ""CSS""]",Gestion de Projet
Personne 550,"[""HTML""]",Avancé,"[""Docker"", ""R\u00e9solution de probl\u00e8mes"", ""JavaScript""]",Gestion de Projet
Personne 551,"[""Cloud Computing"", ""SQL""]",Intermédiaire,"[""JavaScript"", ""CSS""]",Informatique
Personne 552,"[""CSS""]",Avancé,"[""Excel"", ""HTML"", ""Tableau""]",Marketing Digital
Personne 553,"[""Node.js""]",Intermédiaire,"[""R"", ""Git"", ""HTML"", ""Google Cloud""]",Gestion de Projet
Personne 554,"[""Node.js"", ""Web Development"", ""Angular""]",Débutant,"[""HTML"", ""Analyse de donn\u00e9es""]",Marketing Digital
Personne 555,"[""JavaScript"", ""Computer Vision""]",Intermédiaire,"[""Git"", ""R\u00e9solution de probl\u00e8mes"", ""Tableau"", ""SQL"", ""Power BI""]",Informatique
Personne 556,"[""CSS"", ""Data Analysis"", ""HTML""]",Débutant,"[""Google Cloud"", ""Tableau"", ""Docker"", ""Python""]",Data Science
Personne 557,"[""Computer Vision"", ""CSS""]",Intermédiaire,"[""Tableau"", ""Git""]",Développement Web
Personne 558,"[""NLP""]",Avancé,"[""SQL"", ""JavaScript"", ""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 559,"[""HTML"", ""Big Data""]",Débutant,"[""Git"", ""R""]",Gestion de Projet
Personne 560,"[""Computer Vision""]",Débutant,"[""AWS"", ""Docker"", ""Tableau"", ""Analyse de donn\u00e9es""]",Développement Web
Personne 561,"[""Data Analysis""]",Débutant,"[""SQL"", ""Power BI"", ""Excel""]",Développement Web
Personne 562,"[""SQL""]",Avancé,"[""Communication"", ""Git"", ""CSS"", ""HTML""]",Informatique
Personne 563,"[""Web Development"", ""IA""]",Avancé,"[""HTML"", ""SQL"", ""Python"", ""Google Cloud""]",Data Science
Personne 564,"[""Big Data""]",Intermédiaire,"[""HTML"", ""R"", ""AWS"", ""Python""]",Développement Web
Personne 565,"[""Machine Learning"", ""Data Analysis"", ""Cloud Computing""]",Débutant,"[""Tableau"", ""SQL""]",Développement Web
Personne 566,"[""Web Development""]",Intermédiaire,"[""CSS"", ""HTML"", ""Python""]",Informatique
Personne 567,"[""Big Data"", ""Data Analysis"", ""Computer Vision""]",Débutant,"[""AWS"", ""Google Cloud"", ""Power BI"", ""Python""]",Informatique
Personne 568,"[""Web Development"", ""Data Analysis"", ""SQL""]",Intermédiaire,"[""SQL"", ""Excel"", ""Communication""]",Développement Web
Personne 569,"[""SQL""]",Avancé,"[""R"", ""Docker"", ""JavaScript"", ""AWS""]",Data Science
Personne 570,"[""CSS"", ""Data Analysis"", ""Machine Learning""]",Intermédiaire,"[""Power BI"", ""Azure""]",Marketing Digital
Personne 571,"[""Python""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Docker"", ""HTML"", ""CSS""]",Marketing Digital
Personne 572,"[""Cloud Computing"", ""HTML""]",Débutant,"[""Analyse de donn\u00e9es"", ""Google Cloud"", ""Docker"", ""CSS"", ""Git""]",Développement Web
Personne 573,"[""React"", ""Web Development""]",Débutant,"[""HTML"", ""CSS""]",Marketing Digital
Personne 574,"[""IA"", ""JavaScript"", ""Big Data""]",Avancé,"[""SQL"", ""HTML"", ""R""]",Gestion de Projet
Personne 575,"[""SQL"", ""Big Data""]",Avancé,"[""R"", ""Git"", ""Communication"", ""Docker""]",Informatique
Personne 576,"[""CSS"", ""Computer Vision"", ""SQL""]",Débutant,"[""Excel"", ""Python"", ""Azure"", ""R"", ""Power BI""]",Informatique
Personne 577,"[""CSS"", ""Computer Vision"", ""SQL""]",Débutant,"[""Excel"", ""AWS"", ""Google Cloud"", ""HTML""]",Gestion de Projet
Personne 578,"[""HTML"", ""SQL"", ""IA""]",Avancé,"[""Azure"", ""Google Cloud"", ""AWS"", ""R"", ""Power BI""]",Développement Web
Personne 579,"[""React"", ""Python""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""CSS"", ""Power BI""]",Gestion de Projet
Personne 580,"[""NLP"", ""CSS"", ""Computer Vision""]",Débutant,"[""Excel"", ""HTML""]",Data Science
Personne 581,"[""Data Analysis""]",Débutant,"[""CSS"", ""R"", ""Tableau"", ""SQL"", ""Google Cloud""]",Développement Web
Personne 582,"[""React"", ""Python""]",Avancé,"[""HTML"", ""AWS""]",Développement Web
Personne 583,"[""Angular"", ""Web Development""]",Intermédiaire,"[""CSS"", ""Google Cloud"", ""Communication"", ""Git"", ""Analyse de donn\u00e9es""]",Data Science
Personne 584,"[""JavaScript"", ""Big Data""]",Débutant,"[""JavaScript"", ""Git"", ""Google Cloud"", ""CSS""]",Data Science
Personne 585,"[""React"", ""Python""]",Avancé,"[""Analyse de donn\u00e9es"", ""Docker"", ""HTML"", ""Google Cloud"", ""Power BI""]",Développement Web
Personne 586,"[""JavaScript""]",Avancé,"[""JavaScript"", ""Analyse de donn\u00e9es""]",Informatique
Personne 587,"[""Node.js"", ""Machine Learning"", ""SQL""]",Débutant,"[""Git"", ""Analyse de donn\u00e9es"", ""Docker"", ""Communication"", ""SQL""]",Informatique
Personne 588,"[""Cloud Computing""]",Débutant,"[""Excel"", ""Tableau""]",Informatique
Personne 589,"[""Data Analysis""]",Intermédiaire,"[""Gestion de projet"", ""Communication""]",Data Science
Personne 590,"[""IA"", ""HTML"", ""Computer Vision""]",Intermédiaire,"[""Power BI"", ""R""]",Informatique
Personne 591,"[""Angular"", ""Web Development""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Tableau"", ""Google Cloud"", ""Analyse de donn\u00e9es"", ""JavaScript""]",Data Science
Personne 592,"[""Web Development""]",Débutant,"[""Analyse de donn\u00e9es"", ""Gestion de projet"", ""HTML""]",Développement Web
Personne 593,"[""Machine Learning"", ""Computer Vision""]",Intermédiaire,"[""Tableau"", ""Docker"", ""Git""]",Développement Web
Personne 594,"[""Big Data""]",Avancé,"[""HTML"", ""Gestion de projet"", ""Communication""]",Informatique
Personne 595,"[""Cloud Computing"", ""Computer Vision""]",Intermédiaire,"[""Google Cloud"", ""Docker"", ""Azure""]",Marketing Digital
Personne 596,"[""Web Development""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Power BI""]",Informatique
Personne 597,"[""JavaScript""]",Avancé,"[""Communication"", ""Gestion de projet"", ""Power BI"", ""Tableau"", ""JavaScript""]",Data Science
Personne 598,"[""Web Development"", ""React""]",Avancé,"[""Communication"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 599,"[""SQL"", ""Angular""]",Intermédiaire,"[""Git"", ""AWS"", ""Azure"", ""Tableau""]",Data Science
Personne 600,"[""JavaScript""]",Avancé,"[""JavaScript"", ""Analyse de donn\u00e9es"", ""R""]",Marketing Digital
Personne 601,"[""Computer Vision"", ""Data Analysis""]",Intermédiaire,"[""Azure"", ""JavaScript"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 602,"[""Angular"", ""IA"", ""React""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""JavaScript"", ""Gestion de projet"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 603,"[""Web Development""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""HTML"", ""CSS""]",Marketing Digital
Personne 604,"[""JavaScript""]",Débutant,"[""Git"", ""Azure""]",Gestion de Projet
Personne 605,"[""CSS"", ""Computer Vision""]",Intermédiaire,"[""Git"", ""Google Cloud"", ""Power BI"", ""Gestion de projet"", ""CSS""]",Développement Web
Personne 606,"[""Machine Learning""]",Avancé,"[""Gestion de projet"", ""Google Cloud"", ""Azure"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 607,"[""IA"", ""JavaScript"", ""Python""]",Intermédiaire,"[""JavaScript"", ""R"", ""Gestion de projet"", ""R\u00e9solution de probl\u00e8mes"", ""AWS""]",Gestion de Projet
Personne 608,"[""Node.js"", ""CSS""]",Avancé,"[""Gestion de projet"", ""Analyse de donn\u00e9es"", ""SQL"", ""R""]",Développement Web
Personne 609,"[""React""]",Intermédiaire,"[""Google Cloud"", ""SQL"", ""HTML"", ""R""]",Développement Web
Personne 610,"[""Node.js""]",Avancé,"[""Power BI"", ""HTML"", ""Gestion de projet"", ""CSS""]",Marketing Digital
Personne 611,"[""IA"", ""Web Development"", ""SQL""]",Avancé,"[""Communication"", ""Tableau"", ""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes"", ""R""]",Informatique
Personne 612,"[""Node.js"", ""Machine Learning"", ""NLP""]",Intermédiaire,"[""SQL"", ""HTML"", ""CSS"", ""Communication"", ""Azure""]",Marketing Digital
Personne 613,"[""Cloud Computing"", ""Node.js"", ""SQL""]",Intermédiaire,"[""Gestion de projet"", ""JavaScript""]",Gestion de Projet
Personne 614,"[""Data Analysis"", ""Big Data""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Gestion de projet"", ""Excel"", ""Git"", ""Power BI""]",Data Science
Personne 615,"[""IA"", ""React""]",Avancé,"[""Power BI"", ""SQL"", ""AWS"", ""Python""]",Développement Web
Personne 616,"[""SQL"", ""JavaScript"", ""Web Development""]",Intermédiaire,"[""Git"", ""Google Cloud"", ""CSS"", ""Python""]",Informatique
Personne 617,"[""Cloud Computing"", ""Python""]",Débutant,"[""Analyse de donn\u00e9es"", ""Power BI"", ""Communication"", ""AWS"", ""R""]",Développement Web
Personne 618,"[""Computer Vision""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Excel"", ""Google Cloud""]",Marketing Digital
Personne 619,"[""SQL"", ""React""]",Débutant,"[""Excel"", ""AWS"", ""Analyse de donn\u00e9es""]",Développement Web
Personne 620,"[""CSS"", ""Computer Vision""]",Intermédiaire,"[""SQL"", ""Power BI"", ""Python""]",Marketing Digital
Personne 621,"[""Machine Learning"", ""JavaScript""]",Avancé,"[""Docker"", ""R"", ""Google Cloud"", ""CSS"", ""R\u00e9solution de probl\u00e8mes""]",Data Science
Personne 622,"[""Node.js""]",Avancé,"[""Azure"", ""R""]",Gestion de Projet
Personne 623,"[""React"", ""Cloud Computing""]",Intermédiaire,"[""Docker"", ""Excel"", ""CSS""]",Informatique
Personne 624,"[""CSS""]",Débutant,"[""AWS"", ""Azure"", ""Gestion de projet""]",Marketing Digital
Personne 625,"[""IA""]",Débutant,"[""Communication"", ""Excel"", ""Gestion de projet""]",Développement Web
Personne 626,"[""Web Development"", ""SQL""]",Avancé,"[""Docker"", ""Tableau"", ""R""]",Data Science
Personne 627,"[""JavaScript""]",Intermédiaire,"[""Git"", ""JavaScript"", ""HTML"", ""Excel""]",Gestion de Projet
Personne 628,"[""Machine Learning""]",Intermédiaire,"[""Power BI"", ""Analyse de donn\u00e9es"", ""AWS"", ""Docker""]",Informatique
Personne 629,"[""Big Data""]",Débutant,"[""Google Cloud"", ""Power BI"", ""CSS"", ""R""]",Gestion de Projet
Personne 630,"[""JavaScript"", ""CSS"", ""HTML""]",Intermédiaire,"[""Power BI"", ""Python"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 631,"[""Angular""]",Débutant,"[""Tableau"", ""Analyse de donn\u00e9es""]",Développement Web
Personne 632,"[""Cloud Computing""]",Débutant,"[""Communication"", ""Azure"", ""AWS"", ""Docker"", ""HTML""]",Data Science
Personne 633,"[""React"", ""NLP"", ""Node.js""]",Débutant,"[""Docker"", ""Git"", ""HTML"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 634,"[""CSS"", ""IA"", ""Node.js""]",Intermédiaire,"[""CSS"", ""Git"", ""Power BI""]",Développement Web
Personne 635,"[""React"", ""Machine Learning"", ""SQL""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""HTML"", ""JavaScript"", ""Docker""]",Data Science
Personne 636,"[""Cloud Computing"", ""Node.js""]",Intermédiaire,"[""Gestion de projet"", ""SQL"", ""HTML""]",Marketing Digital
Personne 637,"[""Machine Learning"", ""Node.js""]",Avancé,"[""Docker"", ""R\u00e9solution de probl\u00e8mes""]",Gestion de Projet
Personne 638,"[""IA"", ""NLP"", ""CSS""]",Intermédiaire,"[""Gestion de projet"", ""CSS""]",Développement Web
Personne 639,"[""SQL"", ""CSS""]",Débutant,"[""Excel"", ""R\u00e9solution de probl\u00e8mes"", ""Gestion de projet"", ""Docker"", ""Tableau""]",Marketing Digital
Personne 640,"[""Data Analysis""]",Débutant,"[""R"", ""HTML"", ""JavaScript"", ""Git""]",Gestion de Projet
Personne 641,"[""Node.js""]",Avancé,"[""Azure"", ""SQL"", ""Excel""]",Marketing Digital
Personne 642,"[""NLP""]",Intermédiaire,"[""Python"", ""Power BI""]",Marketing Digital
Personne 643,"[""CSS"", ""SQL""]",Intermédiaire,"[""Power BI"", ""Azure"", ""Git""]",Développement Web
Personne 644,"[""Data Analysis"", ""CSS"", ""NLP""]",Débutant,"[""JavaScript"", ""HTML"", ""R\u00e9solution de probl\u00e8mes"", ""CSS"", ""AWS""]",Data Science
Personne 645,"[""NLP""]",Avancé,"[""Gestion de projet"", ""R""]",Gestion de Projet
Personne 646,"[""Machine Learning"", ""Web Development""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""SQL""]",Informatique
Personne 647,"[""Data Analysis"", ""SQL""]",Avancé,"[""SQL"", ""R"", ""JavaScript"", ""Power BI""]",Informatique
Personne 648,"[""Angular""]",Débutant,"[""Excel"", ""JavaScript"", ""Communication"", ""Python""]",Gestion de Projet
Personne 649,"[""Angular""]",Intermédiaire,"[""AWS"", ""Tableau"", ""Power BI"", ""Excel"", ""Git""]",Marketing Digital
Personne 650,"[""IA"", ""CSS"", ""Web Development""]",Débutant,"[""Azure"", ""R\u00e9solution de probl\u00e8mes"", ""CSS"", ""Git""]",Marketing Digital
Personne 651,"[""SQL"", ""CSS""]",Avancé,"[""Power BI"", ""R\u00e9solution de probl\u00e8mes"", ""AWS"", ""Analyse de donn\u00e9es"", ""Git""]",Gestion de Projet
Personne 652,"[""Computer Vision"", ""JavaScript""]",Débutant,"[""Git"", ""Analyse de donn\u00e9es"", ""AWS"", ""Communication"", ""Excel""]",Développement Web
Personne 653,"[""IA""]",Débutant,"[""Power BI"", ""HTML"", ""Google Cloud""]",Gestion de Projet
Personne 654,"[""IA"", ""HTML""]",Intermédiaire,"[""HTML"", ""Power BI""]",Développement Web
Personne 655,"[""Computer Vision""]",Débutant,"[""HTML"", ""Git""]",Marketing Digital
Personne 656,"[""React""]",Avancé,"[""Excel"", ""Google Cloud"", ""Communication"", ""SQL""]",Marketing Digital
Personne 657,"[""Python""]",Intermédiaire,"[""SQL"", ""Excel""]",Informatique
Personne 658,"[""SQL"", ""HTML""]",Intermédiaire,"[""Docker"", ""JavaScript"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 659,"[""IA""]",Avancé,"[""Google Cloud"", ""Git"", ""Python"", ""CSS""]",Informatique
Personne 660,"[""Node.js""]",Débutant,"[""Azure"", ""R"", ""JavaScript"", ""Power BI""]",Gestion de Projet
Personne 661,"[""JavaScript"", ""SQL""]",Débutant,"[""Tableau"", ""Git"", ""HTML"", ""Excel"", ""Analyse de donn\u00e9es""]",Développement Web
Personne 662,"[""Python"", ""JavaScript""]",Intermédiaire,"[""HTML"", ""CSS""]",Gestion de Projet
Personne 663,"[""IA"", ""Angular"", ""Machine Learning""]",Avancé,"[""JavaScript"", ""Google Cloud""]",Gestion de Projet
Personne 664,"[""Computer Vision""]",Avancé,"[""R"", ""AWS"", ""Analyse de donn\u00e9es"", ""Power BI"", ""Git""]",Informatique
Personne 665,"[""IA""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Power BI"", ""Excel"", ""Python"", ""JavaScript""]",Data Science
Personne 666,"[""Node.js""]",Intermédiaire,"[""Power BI"", ""Excel""]",Gestion de Projet
Personne 667,"[""Node.js"", ""React""]",Avancé,"[""CSS"", ""R""]",Gestion de Projet
Personne 668,"[""IA""]",Débutant,"[""Azure"", ""Excel"", ""JavaScript"", ""Git"", ""Tableau""]",Développement Web
Personne 669,"[""Big Data"", ""Machine Learning""]",Débutant,"[""Power BI"", ""R"", ""R\u00e9solution de probl\u00e8mes"", ""Python"", ""Communication""]",Développement Web
Personne 670,"[""SQL"", ""HTML"", ""IA""]",Intermédiaire,"[""JavaScript"", ""Git"", ""Gestion de projet""]",Informatique
Personne 671,"[""Angular"", ""JavaScript""]",Intermédiaire,"[""HTML"", ""Gestion de projet"", ""Excel"", ""R""]",Marketing Digital
Personne 672,"[""IA"", ""Node.js"", ""SQL""]",Avancé,"[""JavaScript"", ""Git"", ""Gestion de projet"", ""AWS"", ""CSS""]",Marketing Digital
Personne 673,"[""Cloud Computing"", ""Data Analysis""]",Débutant,"[""Power BI"", ""CSS"", ""Docker""]",Marketing Digital
Personne 674,"[""Web Development"", ""Data Analysis""]",Avancé,"[""JavaScript"", ""SQL"", ""Gestion de projet"", ""Git"", ""AWS""]",Informatique
Personne 675,"[""NLP""]",Intermédiaire,"[""Communication"", ""JavaScript"", ""CSS"", ""Power BI""]",Informatique
Personne 676,"[""IA""]",Débutant,"[""SQL"", ""Gestion de projet"", ""Communication"", ""HTML""]",Data Science
Personne 677,"[""NLP"", ""HTML"", ""Cloud Computing""]",Intermédiaire,"[""HTML"", ""Python"", ""CSS"", ""Gestion de projet"", ""Analyse de donn\u00e9es""]",Informatique
Personne 678,"[""Web Development""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Gestion de projet"", ""HTML"", ""Python""]",Informatique
Personne 679,"[""Web Development""]",Débutant,"[""Power BI"", ""JavaScript"", ""Communication"", ""Gestion de projet"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 680,"[""NLP"", ""Angular"", ""SQL""]",Débutant,"[""Azure"", ""CSS"", ""Power BI""]",Gestion de Projet
Personne 681,"[""JavaScript"", ""Big Data""]",Intermédiaire,"[""Power BI"", ""Git"", ""R""]",Gestion de Projet
Personne 682,"[""JavaScript"", ""HTML"", ""Cloud Computing""]",Débutant,"[""Analyse de donn\u00e9es"", ""Docker"", ""Azure"", ""R\u00e9solution de probl\u00e8mes"", ""JavaScript""]",Gestion de Projet
Personne 683,"[""Machine Learning""]",Avancé,"[""Docker"", ""Python"", ""Tableau"", ""Google Cloud""]",Gestion de Projet
Personne 684,"[""Node.js"", ""CSS"", ""IA""]",Intermédiaire,"[""Power BI"", ""Gestion de projet""]",Informatique
Personne 685,"[""CSS"", ""IA"", ""HTML""]",Avancé,"[""Analyse de donn\u00e9es"", ""Docker"", ""AWS"", ""HTML"", ""CSS""]",Data Science
Personne 686,"[""Node.js"", ""Python"", ""NLP""]",Débutant,"[""Tableau"", ""R"", ""AWS"", ""Analyse de donn\u00e9es""]",Marketing Digital
Personne 687,"[""Big Data"", ""CSS""]",Avancé,"[""SQL"", ""Excel""]",Data Science
Personne 688,"[""SQL"", ""Python"", ""Node.js""]",Débutant,"[""SQL"", ""Power BI""]",Gestion de Projet
Personne 689,"[""Node.js"", ""Computer Vision"", ""Cloud Computing""]",Avancé,"[""Excel"", ""Docker""]",Développement Web
Personne 690,"[""Machine Learning"", ""Web Development"", ""Data Analysis""]",Avancé,"[""R"", ""Analyse de donn\u00e9es"", ""AWS""]",Informatique
Personne 691,"[""HTML"", ""JavaScript""]",Débutant,"[""Gestion de projet"", ""HTML""]",Gestion de Projet
Personne 692,"[""Cloud Computing"", ""Big Data""]",Avancé,"[""Tableau"", ""R""]",Développement Web
Personne 693,"[""Big Data"", ""React""]",Avancé,"[""AWS"", ""Power BI"", ""Python""]",Data Science
Personne 694,"[""IA"", ""HTML"", ""Python""]",Intermédiaire,"[""AWS"", ""JavaScript"", ""SQL"", ""Power BI""]",Gestion de Projet
Personne 695,"[""SQL"", ""Computer Vision""]",Intermédiaire,"[""Tableau"", ""Excel"", ""Google Cloud"", ""Docker"", ""JavaScript""]",Gestion de Projet
Personne 696,"[""Big Data""]",Intermédiaire,"[""Power BI"", ""Git"", ""AWS""]",Marketing Digital
Personne 697,"[""IA"", ""Web Development""]",Avancé,"[""Analyse de donn\u00e9es"", ""R"", ""Power BI"", ""SQL""]",Marketing Digital
Personne 698,"[""Angular"", ""Cloud Computing""]",Débutant,"[""HTML"", ""Power BI""]",Développement Web
Personne 699,"[""HTML"", ""SQL""]",Débutant,"[""Google Cloud"", ""Tableau"", ""Docker"", ""SQL""]",Gestion de Projet
Personne 700,"[""React"", ""HTML""]",Intermédiaire,"[""Docker"", ""Python"", ""Tableau""]",Marketing Digital
Personne 701,"[""Big Data"", ""HTML"", ""Node.js""]",Avancé,"[""R"", ""Power BI""]",Data Science
Personne 702,"[""NLP"", ""React""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Azure"", ""R"", ""Gestion de projet""]",Informatique
Personne 703,"[""Python""]",Débutant,"[""Communication"", ""AWS"", ""CSS""]",Informatique
Personne 704,"[""Angular""]",Intermédiaire,"[""Tableau"", ""CSS"", ""Python"", ""R\u00e9solution de probl\u00e8mes""]",Gestion de Projet
Personne 705,"[""CSS"", ""SQL""]",Avancé,"[""JavaScript"", ""Python"", ""CSS"", ""Gestion de projet"", ""Google Cloud""]",Data Science
Personne 706,"[""Machine Learning"", ""NLP"", ""Computer Vision""]",Avancé,"[""Communication"", ""SQL"", ""Power BI"", ""Gestion de projet"", ""Analyse de donn\u00e9es""]",Développement Web
Personne 707,"[""Angular""]",Avancé,"[""SQL"", ""Git"", ""Azure"", ""Gestion de projet""]",Développement Web
Personne 708,"[""Web Development"", ""Machine Learning""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Google Cloud"", ""Docker"", ""Azure""]",Marketing Digital
Personne 709,"[""Web Development""]",Débutant,"[""R"", ""Gestion de projet"", ""Git"", ""Analyse de donn\u00e9es"", ""Docker""]",Gestion de Projet
Personne 710,"[""Python""]",Intermédiaire,"[""HTML"", ""Docker""]",Gestion de Projet
Personne 711,"[""Angular""]",Intermédiaire,"[""Docker"", ""Excel"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 712,"[""JavaScript""]",Intermédiaire,"[""Git"", ""Excel""]",Marketing Digital
Personne 713,"[""Angular"", ""NLP"", ""Cloud Computing""]",Débutant,"[""Azure"", ""Git"", ""AWS"", ""JavaScript"", ""Google Cloud""]",Informatique
Personne 714,"[""JavaScript""]",Débutant,"[""Python"", ""Google Cloud"", ""Gestion de projet""]",Informatique
Personne 715,"[""Python"", ""React""]",Avancé,"[""Docker"", ""Python""]",Gestion de Projet
Personne 716,"[""Python"", ""Computer Vision""]",Avancé,"[""CSS"", ""Excel""]",Data Science
Personne 717,"[""Python"", ""Angular""]",Débutant,"[""CSS"", ""Git""]",Informatique
Personne 718,"[""React"", ""JavaScript""]",Avancé,"[""Docker"", ""Tableau"", ""Python""]",Gestion de Projet
Personne 719,"[""JavaScript""]",Débutant,"[""CSS"", ""Analyse de donn\u00e9es"", ""Communication"", ""Gestion de projet"", ""Python""]",Data Science
Personne 720,"[""Python"", ""JavaScript""]",Intermédiaire,"[""HTML"", ""R\u00e9solution de probl\u00e8mes"", ""Git"", ""Communication"", ""Tableau""]",Développement Web
Personne 721,"[""Angular""]",Avancé,"[""SQL"", ""Communication"", ""JavaScript""]",Data Science
